Khalid|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Osian|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Andrew|Boy,71,67,73,79,45,12,3,4,7,20,79,x,x,Steady Classic
Ernie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
August|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Anas|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Freddy|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Izhaan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jensen|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Mylo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Angus|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Filip|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Nolan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Aarav|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Elio|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Azaan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Carson|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lachlan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Quinn|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Percy|Boy,29,44,67,x,x,x,x,x,x,x,x,x,x,Lost Generation
Haris|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Morgan|Boy,x,x,x,x,x,x,x,x,x,x,66,x,x,
Sam|Boy,x,x,x,x,x,x,x,x,72,38,54,x,x,Recent Entrant
Coby|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Yaqub|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Avery|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Harris|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Nate|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Oskar|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Zack|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Nicolas|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Vinny|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Walter|Boy,19,23,34,54,86,x,x,x,x,x,x,x,x,Declining Former Favorite
Aris|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Bowen|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Dawud|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Franklin|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jeremiah|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Martin|Boy,85,86,89,80,41,21,18,26,36,87,x,x,x,Steady Classic
Ace|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Maverick|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ziggy|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Cian|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Rhys|Boy,x,x,x,x,x,x,x,x,x,56,53,x,x,Declining Former Favorite
Malakai|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Hughie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Magnus|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Nikodem|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Adonis|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
